CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,3,-,"2,187.60",-14.45,100,"2,208.50","2,262.30",250,"16,100.00","1,32,950",0.15,0.20,"1,78,050",-0.25,0.15,80.26,"42,028","-11,845","21,777",
,-,-,-,-,-,-,"1,800","2,152.80","2,222.55","1,800","16,150.00","10,950",0.20,0.30,350,-0.25,0.25,81.23,749,337,"2,002",
,4,-,-,-,-,-,200,"2,104.80","2,164.70",200,"16,200.00","14,850",0.20,0.25,"10,800",-0.25,0.20,79.41,"1,831",-54,"4,568",
,-,-,-,-,-,-,"1,800","2,054.30","2,122.45","1,800","16,250.00","27,100",0.20,0.30,"1,000",-0.25,0.20,77.59,"1,662",-77,"1,320",
,-,-,-,-,-,-,200,"2,014.20","2,063.70",200,"16,300.00",50,0.25,0.30,"5,500",-0.20,0.25,75.77,"1,290",-2,"1,624",
,-,-,-,-,-,-,"1,800","1,952.30","2,022.25","1,800","16,350.00",200,0.30,0.40,600,-0.20,0.35,74.98,210,25,543,
,-,-,-,-,-,-,"1,800","1,904.30","1,975.35","1,800","16,400.00","2,700",0.30,0.35,"25,350",-0.25,0.30,73.15,"2,289",-383,"1,031",
,-,-,-,-,-,-,"1,800","1,853.65","1,922.40","1,800","16,450.00",350,0.30,0.40,200,-0.25,0.35,72.20,365,22,482,
,86,-39,41,-,"1,830.00",9.50,50,"1,824.00","1,848.85","2,800","16,500.00","15,200",0.35,0.40,"24,850",-0.30,0.35,70.35,"80,859","-33,522","31,008",
,1,-,-,-,-,-,50,"1,764.55","1,815.10",50,"16,550.00",100,0.35,0.45,400,-0.25,0.40,68.51,486,7,249,
,16,-,-,-,-,-,50,"1,714.65","1,764.80",50,"16,600.00","11,850",0.35,0.40,"11,400",-0.25,0.40,66.66,"4,224",-404,"4,256",
