CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,500","2,129.50","2,306.00","1,500","16,100.00",300,1.50,1.55,"2,000",-0.20,1.50,37.18,"1,980",958,"2,174",
,-,-,-,-,-,-,"1,500","2,082.00","2,266.40","1,500","16,150.00","1,800",1.55,1.65,"2,150",0.45,1.95,36.52,201,-3,49,
,-,-,-,-,-,-,"1,500","2,034.00","2,225.15","1,500","16,200.00",100,1.65,1.80,50,-0.35,1.60,35.86,333,168,499,
,-,-,-,-,-,-,"1,500","1,985.85","2,155.90","1,500","16,250.00",600,1.25,2.30,100,-,-,-,-,-,8,
,-,-,-,-,-,-,"1,500","1,937.80","2,107.30","1,500","16,300.00",250,1.65,1.95,100,-0.30,1.70,34.75,265,94,194,
,-,-,-,-,-,-,"1,500","1,889.80","2,058.75","1,500","16,350.00",600,1.30,2.40,300,-,-,-,-,-,2,
,-,-,-,-,-,-,"1,500","1,841.90","2,006.00","1,500","16,400.00","1,800",1.85,1.95,250,-0.25,1.90,33.37,290,132,192,
,-,-,-,-,-,-,"1,500","1,793.85","1,971.90","1,500","16,450.00",600,1.20,2.50,50,-,-,-,-,-,61,
,64,34,36,-,"1,855.00",55.00,150,"1,849.75","1,864.85",150,"16,500.00","1,200",2.00,2.10,"2,750",-0.30,2.05,32.06,"2,414",950,"7,857",
,-,-,-,-,-,-,"1,500","1,760.60","1,839.70","1,800","16,550.00",600,1.60,2.60,300,-,-,-,-,-,56,
,-,-,-,-,-,-,"1,500","1,710.85","1,789.70",150,"16,600.00","17,750",2.00,2.35,150,-0.15,2.00,30.36,5,-,174,
,-,-,-,-,-,-,"1,500","1,658.75","1,739.80","1,500","16,650.00",600,1.55,2.50,100,-,2.55,30.47,1,-,24,
,-,-,-,-,-,-,"1,500","1,609.00","1,689.80","1,500","16,700.00",200,2.00,2.30,150,-0.45,2.05,28.84,60,37,181,
,-,-,-,-,-,-,"1,500","1,559.10","1,639.95","1,800","16,750.00",50,1.65,2.80,50,-,-,-,-,-,65,
,-,-,-,-,-,-,"1,500","1,509.35","1,589.90","1,500","16,800.00","5,350",2.20,2.30,"1,100",-0.20,2.20,27.48,"2,276",769,"1,353",
,-,-,-,-,-,-,"1,500","1,460.15","1,542.10","1,500","16,850.00","1,300",2.15,2.30,"1,250",-0.05,2.35,26.90,206,14,503,
,-,-,-,-,-,-,150,"1,429.95","1,470.75",150,"16,900.00","5,350",2.25,2.30,"2,750",-0.15,2.30,26.01,"3,832","1,541","2,159",
,-,-,-,-,-,-,150,"1,386.65","1,415.55",150,"16,950.00",150,2.20,2.55,50,0.10,2.55,25.54,49,5,162,
,340,188,435,-,"1,355.00",27.95,100,"1,351.60","1,361.90",200,"17,000.00","2,750",2.50,2.55,"2,500",-0.10,2.55,24.72,"8,145","2,266","7,754",
,-,-,-,-,-,-,"2,450","1,260.25","1,305.70",150,"17,050.00",500,2.35,2.70,100,-0.05,2.70,24.08,249,-12,87,
,64,-1,15,-,"1,245.00",45.00,"2,400","1,240.60","1,274.90",450,"17,100.00",450,2.65,2.70,"6,200",-0.15,2.65,23.19,"3,332",551,"1,700",
,-,-,-,-,-,-,150,"1,197.90","1,242.60","1,500","17,150.00",50,2.75,2.85,100,-0.20,2.85,22.59,251,57,181,
,104,45,71,-,"1,145.00",45.00,"3,450","1,142.15","1,164.55","3,300","17,200.00","2,700",2.95,3.00,"3,250",-0.10,3.00,21.91,"6,994","1,851","5,928",
,6,-,-,-,-,-,"1,850","1,091.80","1,142.85","1,500","17,250.00",550,3.15,3.20,"1,450",-0.30,3.15,21.22,"1,621",384,"1,185",
,89,32,37,-,"1,051.00",26.00,100,"1,039.00","1,076.30",100,"17,300.00","5,600",3.30,3.35,100,-0.20,3.40,20.56,"8,589","1,949","7,872",
,20,10,25,-,"1,000.00",73.40,150,"1,003.40","1,027.60","2,150","17,350.00","1,700",3.45,3.50,"5,550",-0.30,3.50,19.83,"2,468",112,811,
,208,59,77,-,956.50,27.75,"5,800",945.10,957.00,250,"17,400.00",100,3.65,3.70,"5,750",-0.45,3.70,19.13,"15,647",724,"7,728",
,22,5,8,-,897.00,57.00,300,904.75,917.00,450,"17,450.00","2,400",3.90,3.95,700,-0.50,3.95,18.45,"2,280",302,"3,488",
,380,97,136,-,856.00,22.45,50,855.65,859.05,100,"17,500.00","4,550",4.40,4.45,"2,550",-0.65,4.40,17.88,"15,651","3,803","19,086",
,281,18,49,-,800.00,17.15,150,806.15,811.45,150,"17,550.00","4,650",4.75,4.85,"4,500",-0.65,4.85,17.26,"3,972",575,"1,983",
,"1,677","1,217","1,307",-,756.25,23.30,150,757.00,759.90,200,"17,600.00","10,700",5.35,5.45,"6,850",-0.70,5.40,16.66,"25,067","8,922","15,354",
,91,5,9,11.07,710.55,22.30,150,706.75,712.20,100,"17,650.00","4,600",5.95,6.05,"4,550",-0.85,6.00,16.04,"6,506","1,233","3,053",
,555,144,289,-,654.80,19.10,250,658.75,662.40,50,"17,700.00","4,600",6.55,6.60,"1,850",-1.20,6.60,15.37,"19,412","3,848","17,615",
,141,9,22,10.19,611.00,33.55,50,609.45,617.30,50,"17,750.00","2,100",7.55,7.65,"8,300",-1.70,7.55,14.81,"12,049","1,316","7,071",
,"1,134",197,522,-,559.00,19.95,200,562.00,563.60,200,"17,800.00","7,600",8.85,8.95,750,-2.05,8.85,14.32,"41,427","7,182","26,256",
,206,8,46,-,510.00,13.30,50,513.25,516.45,50,"17,850.00","2,100",10.60,10.70,"8,950",-2.35,10.65,13.85,"17,244","1,084","6,404",
,"1,020",235,690,-,462.95,16.60,200,466.70,468.00,200,"17,900.00","8,400",12.95,13.05,"3,200",-3.25,13.00,13.45,"39,924","7,356","26,061",
,257,50,78,10.02,416.10,14.80,200,419.90,421.20,200,"17,950.00","2,500",16.00,16.10,"5,000",-4.15,16.00,13.00,"17,181","2,599","8,271",
,"3,989",909,"4,381",10.53,371.70,17.65,100,374.05,375.00,50,"18,000.00",150,20.00,20.05,200,-5.55,20.00,12.65,"69,115","9,645","41,951",
,368,47,434,9.95,323.75,13.55,200,329.20,330.30,200,"18,050.00","2,100",24.55,24.65,50,-6.80,24.65,12.24,"32,503","6,519","13,094",
,"3,398",273,"14,673",10.31,285.35,16.45,200,286.65,287.45,750,"18,100.00",450,31.45,31.60,"1,550",-8.00,31.55,11.95,"60,432","4,854","29,754",
,"1,250",213,"3,733",10.22,245.00,17.70,100,244.55,245.20,200,"18,150.00",350,39.75,39.90,"1,050",-9.05,39.90,11.68,"31,186","1,078","8,617",
,"13,661","3,620","46,644",10.21,206.25,15.30,100,206.00,206.50,50,"18,200.00","1,150",50.30,50.45,550,-10.65,50.55,11.38,"1,09,521","7,901","50,260",
,"7,426","1,415","28,331",10.23,169.80,12.35,50,169.50,170.00,300,"18,250.00",450,64.10,64.30,"1,350",-13.80,64.20,11.17,"60,038","3,638","14,060",
,"47,943","18,963","1,87,309",10.05,136.45,10.25,100,136.35,136.65,50,"18,300.00",100,81.15,81.25,"1,050",-15.50,81.35,11.00,"2,13,801","25,741","53,649",
,"24,423","12,550","1,12,787",9.91,107.20,7.65,900,107.30,107.60,600,"18,350.00","1,200",101.35,101.70,"1,000",-17.70,101.65,10.83,"69,433","7,573","10,555",
,"42,853","15,324","1,49,861",9.76,81.70,5.85,"1,200",81.60,81.85,950,"18,400.00",100,125.90,126.25,50,-19.10,126.20,10.70,"78,346","8,408","13,143",
,"13,287","1,405","50,777",9.60,60.25,4.55,"2,100",60.15,60.35,100,"18,450.00",50,154.25,154.75,650,-19.45,156.75,10.62,"8,024",209,"1,057",
,"44,724","7,363","1,12,456",9.50,43.20,2.80,50,43.10,43.20,"2,400","18,500.00",600,187.10,187.60,50,-22.85,187.50,10.75,"17,895","1,494","5,123",
,"13,971","2,559","34,424",9.38,29.70,1.45,300,29.70,29.80,850,"18,550.00",200,223.65,224.30,50,-22.15,227.50,10.65,"1,477",419,590,
,"35,667","12,057","79,383",9.34,19.95,0.55,"3,050",19.95,20.05,"2,000","18,600.00","1,250",263.00,263.95,200,-23.35,263.85,10.70,"3,172",784,"1,385",
,"10,483","3,365","27,699",9.39,13.35,0.05,"3,550",13.30,13.40,"5,250","18,650.00",200,306.80,307.85,200,-18.20,309.80,11.39,410,170,252,
,"33,479","13,682","61,603",9.49,8.90,-0.10,"3,850",8.85,8.95,"6,200","18,700.00",200,352.00,353.15,200,-29.80,352.65,11.36,424,124,366,
,"6,334","1,816","18,744",9.84,6.55,0.10,"3,600",6.50,6.60,"7,150","18,750.00",200,400.10,403.30,100,-32.15,390.00,7.94,25,16,49,
